PremiseId,Occupier ID,Name,BusinessType,SubCategory,Category,Guardian-sector,Classification,PostCode,Town,Latitude,Longitude,CreatedDate,ClosedDate,Selected Town,Pre-lockdown,Lockdown,Post Lockdown,FrLastVerifiedDate,OrLastVerifiedDate
52886021,13338459,Pany's,Independent,Take Away Food Shops,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 2HS,Sale,53.42016,-2.30209,3/7/2017,,Sale,Open,,Open,23/7/2020,24/7/2020
52886025,13338464,Orchard greenery,Independent,Grocers,"Groceries, Supermarkets & Food Shops","Groceries, supermarkets & food shops",Convenience,M33 3HE,Sale,53.41999,-2.30417,3/7/2017,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52886028,13338468,Taniya's,Independent,Take Away Food Shops,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 3HE,Sale,53.41994,-2.30403,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
52886037,13338516,Poundland,Multiple,Discount Store,Discount & Surplus Stores,Other,Comparison,M33 7WZ,Sale,53.42375,-2.32222,3/7/2017,,Sale,Open,Open,Open,21/7/2020,24/7/2020
52460379,13086526,Post Office,Multiple,Post Office Services,Employment & Post Offices,Other,Service,M33 7XZ,Sale,53.424393,-2.322087,16/6/2015,,Sale,Open,Open,Open,21/7/2020,24/7/2020
52460378,13086529,Pulsera,Independent,Fashion Shops,Fashion & General Clothing,Fashion & clothing,Comparison,M33 7ZZ,Sale,53.424301,-2.323169,16/6/2015,24/7/2020,Sale,Open,,,21/7/2020,24/7/2020
52820826,13091772,Golden Star,Independent,Chinese Fast Food Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 7JN,Sale,53.4292,-2.32135,2/7/2015,,Sale,Open,,Open,21/7/2020,24/7/2020
52820839,13091790,Jellytots & Dollymixtures,Independent,"Cake Makers, Decorators & Supplies",Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 7JR,Sale,53.43229,-2.31785,2/7/2015,,Sale,Open,,Open,21/7/2020,24/7/2020
52820842,13091795,Life Style Fireplaces,Independent,Fireplaces & Mantelpieces,"Furniture, Carpets, Textiles, Bathrooms & Kitchens",Household items,Comparison,M33 6RH,Sale,53.42115,-2.33056,2/7/2015,,Sale,Open,,Open,22/7/2020,24/7/2020
52566178,13134114,Well Pharmacy,Multiple,Chemists / Toiletries,"Chemists, Toiletries & Health",Other,Comparison,M33 4DX,Sale,53.41108,-2.34035,10/11/2015,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52836552,13178828,Carters Arms,Multiple,Public Houses & Inns,"Bars, Pubs & Clubs","Bars, pubs & clubs",Leisure,M33 2PG,Sale,53.41873,-2.2905,1/4/2016,,Sale,Open,,Open,22/7/2020,24/7/2020
52123751,13199833,Borrello,Independent,Restaurant - Italian,Restaurants,"Restaurants, cafes & fast food",Leisure,M33 7XY,Sale,53.42433,-2.31824,24/6/2016,,Sale,Open,,Open,21/7/2020,24/7/2020
52840814,13201024,Specsavers Opticians,Multiple,Opticians,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 7WZ,Sale,53.42383,-2.32242,30/6/2016,,Sale,Open,Open,Open,21/7/2020,24/7/2020
52841282,13204676,Premier Stores,Multiple,Convenience Stores,"Groceries, Supermarkets & Food Shops","Groceries, supermarkets & food shops",Convenience,M33 3ND,Sale,53.41766,-2.32077,8/7/2016,24/7/2020,Sale,Open,Open,Open,22/7/2020,24/7/2020
52650006,12838070,Betfred,Multiple,Bookmakers,Entertainment,Other,Leisure,M33 4ND,Sale,53.414972,-2.348435,1/5/2013,,Sale,Open,,Open,22/7/2020,24/7/2020
52650045,12838111,Betfred,Multiple,Bookmakers,Entertainment,Other,Leisure,M33 3SQ,Sale,53.416845,-2.32525,1/5/2013,,Sale,Open,,Open,22/7/2020,24/7/2020
52410714,12858617,Yasin's,Independent,Fast Food Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 7FT,Sale,53.42656,-2.32278,1/7/2013,,Sale,Open,,Open,21/7/2020,24/7/2020
52409640,12858634,The Cash Shop,Independent,Pawnbrokers,Pawnbroking & Cheque Cashing,Other,Service,M33 7XB,Sale,53.42528,-2.32238,1/7/2013,24/7/2020,Sale,Open,,,21/7/2020,24/7/2020
52410715,12858635,Sol,Independent,Tanning Shops,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 7AN,Sale,53.42761,-2.32302,1/7/2013,,Sale,Open,,Open,23/7/2020,24/7/2020
